"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","rexhuang-Predator-G3-572",,,,"User:","root"
"Cmdline:","dstat -C 0,1,2,3,4,5,6,7,total --output /home/rexhuang/program/Homework/operating_systems/thread/thread12_cpu.csv",,,,"Date:","23 Oct 2020 15:18:30 CST"
"cpu0 usage",,,,,"cpu1 usage",,,,,"cpu2 usage",,,,,"cpu3 usage",,,,,"cpu4 usage",,,,,"cpu5 usage",,,,,"cpu6 usage",,,,,"cpu7 usage",,,,,"total cpu usage",,,,,"dsk/total",,"net/total",,"paging",,"system",
"cpu0 usage:usr","cpu0 usage:sys","cpu0 usage:idl","cpu0 usage:wai","cpu0 usage:stl","cpu1 usage:usr","cpu1 usage:sys","cpu1 usage:idl","cpu1 usage:wai","cpu1 usage:stl","cpu2 usage:usr","cpu2 usage:sys","cpu2 usage:idl","cpu2 usage:wai","cpu2 usage:stl","cpu3 usage:usr","cpu3 usage:sys","cpu3 usage:idl","cpu3 usage:wai","cpu3 usage:stl","cpu4 usage:usr","cpu4 usage:sys","cpu4 usage:idl","cpu4 usage:wai","cpu4 usage:stl","cpu5 usage:usr","cpu5 usage:sys","cpu5 usage:idl","cpu5 usage:wai","cpu5 usage:stl","cpu6 usage:usr","cpu6 usage:sys","cpu6 usage:idl","cpu6 usage:wai","cpu6 usage:stl","cpu7 usage:usr","cpu7 usage:sys","cpu7 usage:idl","cpu7 usage:wai","cpu7 usage:stl","total cpu usage:usr","total cpu usage:sys","total cpu usage:idl","total cpu usage:wai","total cpu usage:stl","read","writ","recv","send","in","out","int","csw"
11.906,1.584,84.701,1.809,0,10.396,1.781,86.502,1.320,0,10.278,1.816,86.489,1.417,0,9.398,1.823,87.492,1.287,0,7.612,2.316,88.662,1.409,0,8.840,2.065,85.770,3.325,0,8.633,1.829,86.665,2.873,0,8.909,1.803,86.958,2.330,0,9.512,1.875,86.644,1.969,0,735450.729,3800143.662,0,0,0,0,1880.131,5877.136
10.784,0.980,88.235,0,0,5.825,0,94.175,0,0,6.863,1.961,91.176,0,0,8,2,90,0,0,6.186,1.031,92.784,0,0,6,0,94,0,0,12.037,2.778,85.185,0,0,4,0,96,0,0,7.417,0.989,91.595,0,0,0,0,396,838,0,0,1600,4556
13.889,1.852,84.259,0,0,6.731,2.885,90.385,0,0,15,1,84,0,0,16.216,7.207,76.577,0,0,6,5,87,2,0,8.163,9.184,82.653,0,0,3,3,94,0,0,16.964,8.036,75,0,0,10.965,5.006,83.671,0.358,0,0,98304,192,296,0,0,2707,8249
5.660,0.943,93.396,0,0,3.883,0,96.117,0,0,98,2,0,0,0,1.010,0,98.990,0,0,2.020,0,97.980,0,0,5,0,95,0,0,2.020,0,97.980,0,0,1.980,0.990,97.030,0,0,14.888,0.496,84.615,0,0,0,0,0,0,0,0,1486,4193
4.808,0,95.192,0,0,1.980,0,98.020,0,0,96.040,3.960,0,0,0,1,1,98,0,0,1.010,0,98.990,0,0,0,0,100,0,0,0,0,100,0,0,3,0,97,0,0,13.450,0.623,85.928,0,0,0,16384,974,86,0,0,869,1464
3.960,0.990,95.050,0,0,1.010,0,98.990,0,0,98,2,0,0,0,0,0.990,99.010,0,0,2,0,98,0,0,0,0,100,0,0,0,0,100,0,0,1,0,99,0,0,13.483,0.375,86.142,0,0,0,200704,1935,1218,0,0,819,1109
2,0,98,0,0,0.990,0,99.010,0,0,95.960,4.040,0,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0.990,0,99.010,0,0,0,0,100,0,0,12.390,0.626,86.984,0,0,0,0,376,456,0,0,625,1028
0,0,100,0,0,0.990,0.990,98.020,0,0,96,4,0,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,98.990,1.010,0,12.140,0.626,86.984,0.250,0,0,36864,477,119,0,0,605,937
3.960,0,96.040,0,0,0,0,100,0,0,95,5,0,0,0,0,0,100,0,0,0,1,99,0,0,1,0,99,0,0,0,0,100,0,0,1,0,99,0,0,12.484,0.874,86.642,0,0,0,0,98,210,0,0,651,1013
0.990,0,99.010,0,0,0.990,0,99.010,0,0,95.050,4.950,0,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,12.140,0.626,87.234,0,0,0,45056,0,0,0,0,568,914
