"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","rexhuang-Predator-G3-572",,,,"User:","root"
"Cmdline:","dstat -d -r -g -i -m -p -s --output /home/rexhuang/program/Homework/operating_systems/thread/thread2.csv",,,,"Date:","23 Oct 2020 15:20:44 CST"
"dsk/total",,"io/total",,"paging",,"interrupts",,,"memory usage",,,,"procs",,,"swap",
"read","writ","read","writ","in","out","142","143","144","used","free","buff","cach","run","blk","new","used","free"
721323.982,4025326.662,10.850,11.569,0,0,0.606,29.440,70.200,5645942784,15817572352,231813120,4126265344,1,0,1.596,0,8192520192
0,180224,0,12,0,0,0,26,50,5647568896,15815917568,231837696,4126269440,0,0,5,0,8192520192
0,0,0,0,0,0,0,10,37,5683605504,15779868672,231837696,4126269440,1,0,8,0,8192520192
0,122880,0,12,0,0,0,12,217,5721706496,15741751296,231854080,4125335552,1,0,0,0,8192520192
0,0,0,0,0,0,0,12,166,5762416640,15701041152,231854080,4125220864,1,0,0,0,8192520192
0,0,0,0,0,0,0,12,17,5793673216,15669784576,231854080,4122075136,1,0,0,0,8192520192
0,0,0,0,0,0,0,13,15,5825961984,15637495808,231854080,4122075136,1,0,0,0,8192520192
0,20480,0,2,0,0,0,18,10,5857177600,15606272000,231862272,4122075136,1,0,0,0,8192520192
0,0,0,0,0,0,0,13,13,5895393280,15568056320,231862272,4122075136,1,0,0,0,8192520192
0,16384,0,2,0,0,0,11,15,5927907328,15535534080,231870464,4122075136,1,0,0,0,8192520192
0,20480,0,1,0,0,0,18,10,5961486336,15501955072,231870464,4122075136,1,0,0,0,8192520192
0,0,0,0,0,0,0,30,15,5999677440,15463763968,231870464,4122075136,1,0,0,0,8192520192
0,0,0,0,0,0,0,9,13,6032740352,15430701056,231870464,4122075136,1,0,0,0,8192520192
0,0,0,0,0,0,0,12,16,6106316800,15357124608,231870464,4122075136,2,0,2,0,8192520192
0,16384,0,2,0,0,0,15,14,6215233536,15248195584,231878656,4122079232,2,0,0,0,8192520192
0,45056,0,2,0,0,0,10,11,6322606080,15140814848,231886848,4122079232,2,0,0,0,8192520192
0,155648,0,23,0,0,0,14,159,6432051200,15031369728,231886848,4122079232,2,0,0,0,8192520192
0,0,0,0,0,0,0,13,105,6685003776,14778417152,231886848,4122079232,2,0,0,0,8192520192
0,0,0,0,0,0,0,17,34,6643494912,14819930112,231886848,4122079232,2,0,0,0,8192520192
0,32768,0,2,0,0,0,31,17,6757449728,14705971200,231895040,4122075136,2,0,3,0,8192520192
0,0,0,0,0,0,0,18,10,6871797760,14591623168,231895040,4122075136,2,0,0,0,8192520192
0,4096,0,3,0,0,0,29,13,6986952704,14476468224,231895040,4122075136,2,0,0,0,8192520192
0,0,0,0,0,0,0,13,15,7079010304,14384410624,231895040,4122075136,2,0,1,0,8192520192
0,0,0,0,0,0,0,27,14,7193808896,14269612032,231895040,4122337280,2,0,0,0,8192520192
0,45056,0,2,0,0,0,19,27,7312285696,14151135232,231903232,4122329088,2,0,0,0,8192520192
0,53248,0,4,0,0,0,11,252,7420125184,14043271168,231911424,4122345472,2,0,0,0,8192520192
0,159744,0,36,0,0,0,14,15,7529340928,13934055424,231911424,4122345472,2,0,0,0,8192520192
0,0,0,0,0,0,0,20,9,7643271168,13820125184,231911424,4122345472,2,0,0,0,8192520192
0,0,0,0,0,0,0,8,17,7755005952,13708390400,231911424,4122083328,2,0,0,0,8192520192
0,151552,0,3,0,0,0,13,32,7868862464,13594525696,231919616,4122083328,2,0,0,0,8192520192
0,0,0,0,0,0,0,15,9,7981539328,13481840640,231919616,4122091520,2,0,0,0,8192520192
0,0,0,0,0,0,0,29,7,9571131392,11892248576,231919616,4122091520,2,0,0,0,8192520192
0,204800,0,46,0,0,0,18,13,8116252672,12673486848,231919616,4779286528,1,0,0,0,8192520192
0,44793856,0,72,0,0,0,11,28,5634686976,13702619136,231919616,6195355648,0,1,0,0,8192520192
